0.551,0.913,1.207,1.478,1.857,1.647,2.286,1.875
0.301,0.612,0.971,1.022,0.929,0.969,1.963,1.774
0.1,0.197,0.288,0.774,0.667,0.537,0.718,0.75
0.507,0.919,1.239,1.55,1.0,2.267,1.0,1.75
0.332,0.579,0.765,0.991,1.235,1.439,1.619,1.606
0.109,0.188,0.346,0.458,0.211,0.476,0.867,1.125
0.547,0.828,1.556,1.522,1.167,2.16,2.133,2.909
0.314,0.636,0.682,0.982,0.933,1.571,0.857,1.976
0.112,0.341,0.36,0.659,0.532,0.519,0.765,0.8
0.484,0.919,1.057,1.776,1.0,1.692,1.688,2.514
0.325,0.44,0.641,1.027,1.091,1.273,1.541,1.05
0.139,0.276,0.425,0.481,0.37,0.483,0.676,1.286
0.403,0.742,1.051,1.417,1.857,1.211,1.7,2.781
0.25,0.511,0.616,0.812,0.933,1.182,0.968,1.613
0.11,0.247,0.274,0.389,0.381,0.577,0.732,0.526
0.359,0.566,1.106,1.107,1.667,1.529,1.6,3.0
0.215,0.512,0.571,0.858,0.926,0.83,1.0,1.524
0.089,0.173,0.317,0.318,0.22,0.56,0.565,0.931
0.413,0.735,0.674,1.0,1.5,1.471,1.583,2.35
0.171,0.354,0.719,0.741,0.571,1.175,1.158,1.438
0.065,0.175,0.244,0.415,0.391,0.375,0.658,0.652
0.398,0.799,1.0,1.182,1.2,1.467,2.0,3.0
0.183,0.414,0.463,0.552,0.571,0.936,0.87,1.566
0.056,0.097,0.348,0.337,0.304,0.319,0.455,0.333
0.446,0.727,1.156,1.453,1.5,1.412,2.167,2.261
0.232,0.427,0.533,0.949,0.875,0.941,0.903,1.408
0.066,0.169,0.195,0.226,0.192,0.514,0.355,0.403
