3310,847,135,17,70,303,548
3234,716,120,21,66,301,593
3172,751,150,5,108,361,597
3101,776,145,11,149,373,527
3025,731,147,7,87,257,542
2955,662,113,3,65,274,597
2863,667,98,13,61,257,562
2761,536,91,12,36,270,610
2672,409,70,6,32,148,853
